Investor Name,Investment Industries,Investment Stages,Past Investment Types,Location,Investor Bio
Magnus Olsson (Angel),Mobility,Transport,Seed,"SAFE,Dubai, UAE","Magnus Olsson (Angel) is an investor based in SAFE,Dubai, UAE. They are interested in sectors like Mobility and typically invest in Transport rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Mudassir Sheikha (Angel),Mobility,Transport,Seed,"SAFE,Dubai, UAE","Mudassir Sheikha (Angel) is an investor based in SAFE,Dubai, UAE. They are interested in sectors like Mobility and typically invest in Transport rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Monis Rahman (Angel),HR Tech,Classifieds,Seed,"Equity,Lahore, Pakistan","Monis Rahman (Angel) is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like HR Tech and typically invest in Classifieds rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Imran Ali Khan (Angel),PropTech,E-commerce,Seed,"SAFE,London, UK","Imran Ali Khan (Angel) is an investor based in SAFE,London, UK. They are interested in sectors like PropTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Zeeshan Ali Khan (Angel),PropTech,E-commerce,Seed,"SAFE,London, UK","Zeeshan Ali Khan (Angel) is an investor based in SAFE,London, UK. They are interested in sectors like PropTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Umar Saif (Angel),Tech,GovTech,Seed,"SAFE,Lahore, Pakistan","Umar Saif (Angel) is an investor based in SAFE,Lahore, Pakistan. They are interested in sectors like Tech and typically invest in GovTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Yasser Bashir (Angel),Software,Collaboration,Seed,"SAFE,Lahore, Pakistan","Yasser Bashir (Angel) is an investor based in SAFE,Lahore, Pakistan. They are interested in sectors like Software and typically invest in Collaboration rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Rai Umair Basharat (Angel),FoodTech,Hospitality,Seed,"SAFE,Karachi, Pakistan","Rai Umair Basharat (Angel) is an investor based in SAFE,Karachi, Pakistan. They are interested in sectors like FoodTech and typically invest in Hospitality rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Shayaan Tahir (Angel),E-commerce,Automotive,Seed,"Equity,Karachi, Pakistan","Shayaan Tahir (Angel) is an investor based in Equity,Karachi, Pakistan. They are interested in sectors like E-commerce and typically invest in Automotive rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Faisal Aftab (Angel),Advertising,AgriTech,Seed,"SAFE,Islamabad, Pakistan","Faisal Aftab (Angel) is an investor based in SAFE,Islamabad, Pakistan. They are interested in sectors like Advertising and typically invest in AgriTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Shakir Aslam (Angel),FinTech,HealthTech,Seed,"Equity,Karachi, Pakistan","Shakir Aslam (Angel) is an investor based in Equity,Karachi, Pakistan. They are interested in sectors like FinTech and typically invest in HealthTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
M. Shahzad (Angel),AI,Enterprise Software,Seed,"SAFE,Bhalwal, Pakistan","M. Shahzad (Angel) is an investor based in SAFE,Bhalwal, Pakistan. They are interested in sectors like AI and typically invest in Enterprise Software rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Ameer Hamza Sadiq (Angel),Advertising,Mobile Apps,Seed,"SAFE,Punjab, Pakistan","Ameer Hamza Sadiq (Angel) is an investor based in SAFE,Punjab, Pakistan. They are interested in sectors like Advertising and typically invest in Mobile Apps rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Shehryar Hydri (Angel),AI,AgTech,AudioTech,"Seed,Equity,Islamabad, Pakistan","Shehryar Hydri (Angel) is an investor based in Seed,Equity,Islamabad, Pakistan. They are interested in sectors like AI and typically invest in AgTech rounds. Their deals are usually structured as AudioTech, supporting startups with high growth potential."
Nadeem Hussain (Angel),FinTech,E-commerce,Seed,"Series A,Convertible Note, Equity,Karachi, Pakistan","Nadeem Hussain (Angel) is an investor based in Series A,Convertible Note, Equity,Karachi, Pakistan. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Altaf Khan (Angel),Energy,Internet,Seed,"Equity,Lahore, Pakistan","Altaf Khan (Angel) is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like Energy and typically invest in Internet rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Zayn BitRate Fund,Blockchain,Crypto,Pre-Seed,"Seed,SAFE, Equity,Karachi, Pakistan","Zayn BitRate Fund is an investor based in Seed,SAFE, Equity,Karachi, Pakistan. They are interested in sectors like Blockchain and typically invest in Crypto rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
TMT Ventures,Tech,Telecom,Early Stage,"Equity,Lahore, Pakistan","TMT Ventures is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like Tech and typically invest in Telecom rounds. Their deals are usually structured as Early Stage, supporting startups with high growth potential."
Glowfish Labs (Venture Studio),Tech,Digital,Seed,"Equity,Lahore, Pakistan","Glowfish Labs (Venture Studio) is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like Tech and typically invest in Digital rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Karachi Angels Network,Sector Agnostic,Seed,Equity,"Karachi, Pakistan","Karachi Angels Network is an investor based in Karachi, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Equity, supporting startups with high growth potential."
Lahore Angels Network,Sector Agnostic,Seed,Equity,"Lahore, Pakistan","Lahore Angels Network is an investor based in Lahore, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Equity, supporting startups with high growth potential."
OPEN Silicon Valley (Pak Diaspora Network),Tech,Various,Seed,"Equity,San Jose, USA","OPEN Silicon Valley (Pak Diaspora Network) is an investor based in Equity,San Jose, USA. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Wamda Capital,Tech,E-commerce,Logistics,"Seed, Series A,Equity,Dubai, UAE","Wamda Capital is an investor based in Seed, Series A,Equity,Dubai, UAE. They are interested in sectors like Tech and typically invest in E-commerce rounds. Their deals are usually structured as Logistics, supporting startups with high growth potential."
BECO Capital,Tech,Consumer Internet,Seed,"Series A,Equity,Dubai, UAE","BECO Capital is an investor based in Series A,Equity,Dubai, UAE. They are interested in sectors like Tech and typically invest in Consumer Internet rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Raed Ventures,Tech,Various,Seed,"Series A,Equity,Riyadh, Saudi Arabia","Raed Ventures is an investor based in Series A,Equity,Riyadh, Saudi Arabia. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
STV (Saudi Technology Ventures),Tech,Various,Series A,"Series B,Equity,Riyadh, Saudi Arabia","STV (Saudi Technology Ventures) is an investor based in Series B,Equity,Riyadh, Saudi Arabia. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Mubadala Capital,Tech,Consumer,Series B,"Growth,Equity,Abu Dhabi, UAE","Mubadala Capital is an investor based in Growth,Equity,Abu Dhabi, UAE. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Jabbar Internet Group,E-commerce,Internet,Seed,"Series A,Equity,Dubai, UAE","Jabbar Internet Group is an investor based in Series A,Equity,Dubai, UAE. They are interested in sectors like E-commerce and typically invest in Internet rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Flat6Labs,Tech,Various,Seed,"Equity,Cairo, Egypt","Flat6Labs is an investor based in Equity,Cairo, Egypt. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Sawari Ventures,Tech,FinTech,Series A,"Series B,Equity,Cairo, Egypt","Sawari Ventures is an investor based in Series B,Equity,Cairo, Egypt. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Algebra Ventures,Tech,FinTech,Seed,"Series A,Equity,Cairo, Egypt","Algebra Ventures is an investor based in Series A,Equity,Cairo, Egypt. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Endure Capital,Tech,Impact,Seed,"Series A,Equity,Cairo, Egypt","Endure Capital is an investor based in Series A,Equity,Cairo, Egypt. They are interested in sectors like Tech and typically invest in Impact rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Novastar Ventures,Impact,Various,Seed,"Series A,Equity,Nairobi, Kenya","Novastar Ventures is an investor based in Series A,Equity,Nairobi, Kenya. They are interested in sectors like Impact and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Partech Africa,FinTech,E-commerce,Series A,"Series B,Equity,Dakar, Senegal","Partech Africa is an investor based in Series B,Equity,Dakar, Senegal. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
TLcom Capital,Tech,FinTech,Series A,"Series B,Equity,Nairobi, Kenya","TLcom Capital is an investor based in Series B,Equity,Nairobi, Kenya. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Launch Africa Ventures,Tech,Various,Seed,"Equity,Port Louis, Mauritius","Launch Africa Ventures is an investor based in Equity,Port Louis, Mauritius. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Future Africa,FinTech,EdTech,Pre-Seed,"Seed,Equity,Lagos, Nigeria","Future Africa is an investor based in Seed,Equity,Lagos, Nigeria. They are interested in sectors like FinTech and typically invest in EdTech rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Microtraction,Tech,Various,Pre-Seed,"Seed,Equity,Lagos, Nigeria","Microtraction is an investor based in Seed,Equity,Lagos, Nigeria. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
CRE Venture Capital,FinTech,B2B,Series A,"Equity,Johannesburg, South Africa","CRE Venture Capital is an investor based in Equity,Johannesburg, South Africa. They are interested in sectors like FinTech and typically invest in B2B rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Norrsken22,FinTech,HealthTech,Seed,"Series A,Equity,Stockholm, Sweden","Norrsken22 is an investor based in Series A,Equity,Stockholm, Sweden. They are interested in sectors like FinTech and typically invest in HealthTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Omidyar Network,FinTech,EdTech,Seed,"Series A,Equity,Redwood City, USA","Omidyar Network is an investor based in Series A,Equity,Redwood City, USA. They are interested in sectors like FinTech and typically invest in EdTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Gray Matters Capital,EdTech,Impact,Series A,"Equity,Atlanta, USA","Gray Matters Capital is an investor based in Equity,Atlanta, USA. They are interested in sectors like EdTech and typically invest in Impact rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Karandaaz Pakistan,FinTech,Financial Inclusion,Seed,"Series A,Grant, Equity,Islamabad, Pakistan","Karandaaz Pakistan is an investor based in Series A,Grant, Equity,Islamabad, Pakistan. They are interested in sectors like FinTech and typically invest in Financial Inclusion rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Insitor Partners,Impact,Various,Seed,"Series A,Equity,Singapore, Singapore","Insitor Partners is an investor based in Series A,Equity,Singapore, Singapore. They are interested in sectors like Impact and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
MSA Capital,Tech,FinTech,Seed,"Series A,Equity,Beijing, China","MSA Capital is an investor based in Series A,Equity,Beijing, China. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Plug and Play,Tech,Various,Seed,"Equity,Sunnyvale, USA","Plug and Play is an investor based in Equity,Sunnyvale, USA. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Sequoia Capital India (Peak XV),Tech,Consumer,Seed,"Series A,Equity,Bangalore, India","Sequoia Capital India (Peak XV) is an investor based in Series A,Equity,Bangalore, India. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Accel,Tech,Consumer,Seed,"Series A, Series B,Equity,Palo Alto, USA","Accel is an investor based in Series A, Series B,Equity,Palo Alto, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Lightspeed Venture Partners,Tech,Consumer,Seed,"Series A, Series B,Equity,Menlo Park, USA","Lightspeed Venture Partners is an investor based in Series A, Series B,Equity,Menlo Park, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Matrix Partners India,Consumer,FinTech,Seed,"Series A,Equity,Mumbai, India","Matrix Partners India is an investor based in Series A,Equity,Mumbai, India. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
B Capital Group,Tech,SaaS,Series A,"Series B,Equity,Singapore, Singapore","B Capital Group is an investor based in Series B,Equity,Singapore, Singapore. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Omnivore,AgriTech,FoodTech,Seed,"Series A,Equity,New Delhi, India","Omnivore is an investor based in Series A,Equity,New Delhi, India. They are interested in sectors like AgriTech and typically invest in FoodTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Fenox Venture Capital,Tech,IT,Seed,"Series A,Equity,San Jose, USA","Fenox Venture Capital is an investor based in Series A,Equity,San Jose, USA. They are interested in sectors like Tech and typically invest in IT rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Pegasus Tech Ventures,Tech,AI,Seed,"Series A,Equity,San Jose, USA","Pegasus Tech Ventures is an investor based in Series A,Equity,San Jose, USA. They are interested in sectors like Tech and typically invest in AI rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Naval Ravikant (Angel),Tech,Crypto,Seed,"SAFE, Convertible Note,San Francisco, USA","Naval Ravikant (Angel) is an investor based in SAFE, Convertible Note,San Francisco, USA. They are interested in sectors like Tech and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Jason Calacanis (Angel),Tech,Consumer,Seed,"SAFE, Convertible Note,San Francisco, USA","Jason Calacanis (Angel) is an investor based in SAFE, Convertible Note,San Francisco, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Paul Graham (Angel),Tech,SaaS,Seed,"SAFE,Mountain View, USA","Paul Graham (Angel) is an investor based in SAFE,Mountain View, USA. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Christopher Schroeder (Angel),Tech,Media,Seed,"Convertible Note, SAFE,Washington, DC, USA","Christopher Schroeder (Angel) is an investor based in Convertible Note, SAFE,Washington, DC, USA. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Stripe (Stripe Treasury),FinTech,Payments,Seed,"Series A,Equity,San Francisco, USA","Stripe (Stripe Treasury) is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like FinTech and typically invest in Payments rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
SoftBank Vision Fund,Tech,Internet,Series C,"Growth,Equity,Tokyo, Japan","SoftBank Vision Fund is an investor based in Growth,Equity,Tokyo, Japan. They are interested in sectors like Tech and typically invest in Internet rounds. Their deals are usually structured as Series C, supporting startups with high growth potential."
Temasek Holdings,Tech,Various,Growth,"Equity,Singapore, Singapore","Temasek Holdings is an investor based in Equity,Singapore, Singapore. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
ADB Ventures,CleanTech,FinTech,Seed,"Series A,Grant, Equity,Manila, Philippines","ADB Ventures is an investor based in Series A,Grant, Equity,Manila, Philippines. They are interested in sectors like CleanTech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Mentors Fund,Tech,SaaS,Seed,"SAFE, Equity,Los Angeles, USA","Mentors Fund is an investor based in SAFE, Equity,Los Angeles, USA. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Waed (Aramco),Energy,Industrial,Seed,"Series A,Equity,Dhahran, Saudi Arabia","Waed (Aramco) is an investor based in Series A,Equity,Dhahran, Saudi Arabia. They are interested in sectors like Energy and typically invest in Industrial rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
MEST Africa,Tech,Various,Seed,"Equity,Accra, Ghana","MEST Africa is an investor based in Equity,Accra, Ghana. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
AfricInvest,Tech,FinTech,Growth,"Series B,Equity,Tunis, Tunisia","AfricInvest is an investor based in Series B,Equity,Tunis, Tunisia. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Bamboo Capital Partners,FinTech,CleanTech,Series A,"Equity,Luxembourg, Luxembourg","Bamboo Capital Partners is an investor based in Equity,Luxembourg, Luxembourg. They are interested in sectors like FinTech and typically invest in CleanTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
RMI Ventures,FinTech,InsurTech,Series A,"Equity,Johannesburg, South Africa","RMI Ventures is an investor based in Equity,Johannesburg, South Africa. They are interested in sectors like FinTech and typically invest in InsurTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
British International Investment (BII),Various,Impact,Growth,"Series B,Equity,London, UK","British International Investment (BII) is an investor based in Series B,Equity,London, UK. They are interested in sectors like Various and typically invest in Impact rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Global Innovation Fund,Impact,Various,Seed,"Series A,Grant, Equity,London, UK","Global Innovation Fund is an investor based in Series A,Grant, Equity,London, UK. They are interested in sectors like Impact and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
FMO Ventures,FinTech,CleanTech,Seed,"Series A,Equity,The Hague, Netherlands","FMO Ventures is an investor based in Series A,Equity,The Hague, Netherlands. They are interested in sectors like FinTech and typically invest in CleanTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Alpha JWC Ventures,FinTech,Consumer,Seed,"Series A,Equity,Jakarta, Indonesia","Alpha JWC Ventures is an investor based in Series A,Equity,Jakarta, Indonesia. They are interested in sectors like FinTech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Andreessen Horowitz (a16z),Tech,Crypto,Series A,"Series B,Equity,Menlo Park, USA","Andreessen Horowitz (a16z) is an investor based in Series B,Equity,Menlo Park, USA. They are interested in sectors like Tech and typically invest in Crypto rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Index Ventures,Tech,SaaS,Series A,"Series B,Equity,London, UK","Index Ventures is an investor based in Series B,Equity,London, UK. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
General Catalyst,Tech,FinTech,Series A,"Series B,Equity,Cambridge, USA","General Catalyst is an investor based in Series B,Equity,Cambridge, USA. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Khosla Ventures,DeepTech,FinTech,Seed,"Series A,Equity,Menlo Park, USA","Khosla Ventures is an investor based in Series A,Equity,Menlo Park, USA. They are interested in sectors like DeepTech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Bessemer Venture Partners,SaaS,FinTech,Series B,"Series C,Equity,New York, USA","Bessemer Venture Partners is an investor based in Series C,Equity,New York, USA. They are interested in sectors like SaaS and typically invest in FinTech rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Intel Capital,Tech,Hardware,Series A,"Series B,Equity,Santa Clara, USA","Intel Capital is an investor based in Series B,Equity,Santa Clara, USA. They are interested in sectors like Tech and typically invest in Hardware rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Tencent Investment,Tech,Gaming,Series B,"Growth,Equity,Shenzhen, China","Tencent Investment is an investor based in Growth,Equity,Shenzhen, China. They are interested in sectors like Tech and typically invest in Gaming rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Alibaba (Alibaba Group),E-commerce,FinTech,Series B,"Growth,Equity,Hangzhou, China","Alibaba (Alibaba Group) is an investor based in Growth,Equity,Hangzhou, China. They are interested in sectors like E-commerce and typically invest in FinTech rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Baidu Ventures,AI,Tech,Seed,"Series A,Equity,Beijing, China","Baidu Ventures is an investor based in Series A,Equity,Beijing, China. They are interested in sectors like AI and typically invest in Tech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Go-Ventures (Gojek),Mobility,FinTech,Series A,"Equity,Jakarta, Indonesia","Go-Ventures (Gojek) is an investor based in Equity,Jakarta, Indonesia. They are interested in sectors like Mobility and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Grab Ventures,Mobility,Delivery,Series A,"Equity,Singapore, Singapore","Grab Ventures is an investor based in Equity,Singapore, Singapore. They are interested in sectors like Mobility and typically invest in Delivery rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Revo Capital,SaaS,Marketplaces,Seed,"Series A,Equity,Istanbul, Turkey","Revo Capital is an investor based in Series A,Equity,Istanbul, Turkey. They are interested in sectors like SaaS and typically invest in Marketplaces rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Kaszek Ventures,FinTech,E-commerce,Series A,"Series B,Equity,Buenos Aires, Argentina","Kaszek Ventures is an investor based in Series B,Equity,Buenos Aires, Argentina. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Monashees,Consumer,FinTech,Seed,"Series A,Equity,São Paulo, Brazil","Monashees is an investor based in Series A,Equity,São Paulo, Brazil. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
GGV Capital,Consumer,SaaS,Series B,"Series C,Equity,Menlo Park, USA","GGV Capital is an investor based in Series C,Equity,Menlo Park, USA. They are interested in sectors like Consumer and typically invest in SaaS rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Insignia Ventures Partners,Tech,Consumer,Seed,"Series A,Equity,Singapore, Singapore","Insignia Ventures Partners is an investor based in Series A,Equity,Singapore, Singapore. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Jungle Ventures,Consumer,FinTech,Series A,"Series B,Equity,Singapore, Singapore","Jungle Ventures is an investor based in Series B,Equity,Singapore, Singapore. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Vertex Ventures,FinTech,SaaS,Series A,"Series B,Equity,Singapore, Singapore","Vertex Ventures is an investor based in Series B,Equity,Singapore, Singapore. They are interested in sectors like FinTech and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Forerunner Ventures,E-commerce,Retail,Seed,"Series A,Equity,San Francisco, USA","Forerunner Ventures is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like E-commerce and typically invest in Retail rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Pantera Capital,Crypto,Blockchain,Seed,"Series A,Equity,Menlo Park, USA","Pantera Capital is an investor based in Series A,Equity,Menlo Park, USA. They are interested in sectors like Crypto and typically invest in Blockchain rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Coinbase Ventures,Crypto,Blockchain,Seed,"Series A,Equity,San Francisco, USA","Coinbase Ventures is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like Crypto and typically invest in Blockchain rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Learn Capital,EdTech,Education,Seed,"Series A,Equity,San Mateo, USA","Learn Capital is an investor based in Series A,Equity,San Mateo, USA. They are interested in sectors like EdTech and typically invest in Education rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Rock Health,HealthTech,Digital Health,Seed,"Series A,Equity,San Francisco, USA","Rock Health is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like HealthTech and typically invest in Digital Health rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Energy Impact Partners,Energy,CleanTech,Series A,"Series B,Equity,New York, USA","Energy Impact Partners is an investor based in Series B,Equity,New York, USA. They are interested in sectors like Energy and typically invest in CleanTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Breakthrough Energy Ventures,CleanTech,Energy,Series A,"Series B,Equity,Kirkland, USA","Breakthrough Energy Ventures is an investor based in Series B,Equity,Kirkland, USA. They are interested in sectors like CleanTech and typically invest in Energy rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Startupbootcamp,FinTech,IoT,Seed,"Equity,London, UK","Startupbootcamp is an investor based in Equity,London, UK. They are interested in sectors like FinTech and typically invest in IoT rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
M12 (Microsoft Ventures),Enterprise,Cloud,Series A,"Series B,Equity,Seattle, USA","M12 (Microsoft Ventures) is an investor based in Series B,Equity,Seattle, USA. They are interested in sectors like Enterprise and typically invest in Cloud rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
GV (Google Ventures),Tech,Life Sciences,Series A,"Series B,Equity,Mountain View, USA","GV (Google Ventures) is an investor based in Series B,Equity,Mountain View, USA. They are interested in sectors like Tech and typically invest in Life Sciences rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Hub71 (Abu Dhabi),Tech,Various,Seed,"Equity,Abu Dhabi, UAE","Hub71 (Abu Dhabi) is an investor based in Equity,Abu Dhabi, UAE. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Mouro Capital,FinTech,InsurTech,Series A,"Series B,Equity,London, UK","Mouro Capital is an investor based in Series B,Equity,London, UK. They are interested in sectors like FinTech and typically invest in InsurTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
NFX,SaaS,Marketplaces,Seed,"Series A,Equity,San Francisco, USA","NFX is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like SaaS and typically invest in Marketplaces rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Future Perfect Ventures,Blockchain,FinTech,Seed,"Series A,Equity,New York, USA","Future Perfect Ventures is an investor based in Series A,Equity,New York, USA. They are interested in sectors like Blockchain and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Blockchain Founders Fund,Blockchain,FinTech,Seed,"Equity,Singapore, Singapore","Blockchain Founders Fund is an investor based in Equity,Singapore, Singapore. They are interested in sectors like Blockchain and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Digital Currency Group (DCG),Blockchain,Crypto,Seed,"Series A,Equity,New York, USA","Digital Currency Group (DCG) is an investor based in Series A,Equity,New York, USA. They are interested in sectors like Blockchain and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Lakestar,E-commerce,FinTech,Series A,"Series B,Equity,Zurich, Switzerland","Lakestar is an investor based in Series B,Equity,Zurich, Switzerland. They are interested in sectors like E-commerce and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Mangrove Capital Partners,Internet,FinTech,Seed,"Series A,Equity,Luxembourg, Luxembourg","Mangrove Capital Partners is an investor based in Series A,Equity,Luxembourg, Luxembourg. They are interested in sectors like Internet and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
